"","Year","quarter","mkt_fare","citymarketid_1","citymarketid_2","city1","city2","carairlineid","car","carpax","carpaxshare","caravgfare","fareinc_min","fareinc_minpaxsh","fareinc_max","fare_inc_maxpaxsh","fare_inc_x3paxsh","Geocoded_City1","Geocoded_City2","tbl5pk","lat1","lon1","lat2","lon2","distance"
"263",2012,"1",354.06,33105,31703,"Cincinnati, OH","New York City, NY (Metropolitan Area)",20355,"US",6730,0.12,267.31,200,0.07,325,0.06,0.0089,"Cincinnati, OH
(39.104427, -84.513808)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20121331053170320355US",39.10312,-84.51202,40.71278,-74.00597,912.600854313309
"264",2014,"1",315.3,30194,33244,"Dallas/Fort Worth, TX","Memphis, TN",19805,"AA",13510,0.66,321.79,200,0.08,475,0.1,0.05,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Memphis, TN
(35.143378, -90.052136)","20141301943324419805AA",32.70788,-96.92091,35.14953,-90.04898,689.026161153083
"265",2012,"2",280.56,33105,30852,"Cincinnati, OH","Washington, DC (Metropolitan Area)",20355,"US",6020,0.15,258.2,125,0.05,275,0.05,0.21,"Cincinnati, OH
(39.104427, -84.513808)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","20122331053085220355US",39.10312,-84.51202,39.12897,-77.37838,614.872707110539
"266",2012,"1",309.23,30647,31650,"Cleveland, OH (Metropolitan Area)","Minneapolis/St. Paul, MN",19977,"UA",6440,0.28,357.15,150,0.05,600,0.08,0.29,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)","20121306473165019977UA",41.49932,-81.69436,44.93748,-93.201,1005.91973726896
"267",2014,"2",118.75,31135,34100,"Myrtle Beach, SC","Philadelphia, PA",20355,"US",9090,0.43,161.84,100,0.11,225,0.07,0.06,"Myrtle Beach, SC
(33.68785, -78.883852)","Philadelphia, PA
(39.951061, -75.16562)","20142311353410020355US",33.68906,-78.88669,39.95258,-75.16522,770.517704432364
"268",2014,"3",304.22,31066,31650,"Columbus, OH","Minneapolis/St. Paul, MN",19393,"WN",3420,0.13,247.03,175,0.06,400,0.05,0,"Columbus, OH
(39.962649, -82.996216)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)","20143310663165019393WN",39.96118,-82.99879,44.93748,-93.201,1001.56185708247
"269",2013,"1",262.94,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",19977,"UA",7490,0.21,330.32,125,0.08,575,0.16,0.34,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20131330443170319977UA",38.25266,-85.75846,40.71278,-74.00597,1043.43815246109
"270",2012,"4",265.1,33105,34100,"Cincinnati, OH","Philadelphia, PA",20355,"US",17340,0.65,269.21,125,0.14,450,0.06,0.18,"Cincinnati, OH
(39.104427, -84.513808)","Philadelphia, PA
(39.951061, -75.16562)","20124331053410020355US",39.10312,-84.51202,39.95258,-75.16522,806.262528481617
"271",2015,"2",287.06,34100,30198,"Philadelphia, PA","Pittsburgh, PA",20355,"US",16480,0.45,291.44,150,0.05,425,0.06,0.03,"Philadelphia, PA
(39.951061, -75.16562)","Pittsburgh, PA
(40.442169, -79.994945)","20152341003019820355US",39.95258,-75.16522,40.44062,-79.99589,413.530970065596
"272",2013,"3",298.76,31066,31703,"Columbus, OH","New York City, NY (Metropolitan Area)",19977,"UA",9200,0.1,356.22,100,0.1,650,0.1,0.41,"Columbus, OH
(39.962649, -82.996216)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20133310663170319977UA",39.96118,-82.99879,40.71278,-74.00597,765.925335364936
"273",2015,"3",271.39,32337,34100,"Indianapolis, IN","Philadelphia, PA",19805,"AA",14480,0.41,286.38,175,0.12,375,0.17,0.03,"Indianapolis, IN
(39.76845, -86.156212)","Philadelphia, PA
(39.951061, -75.16562)","20153323373410019805AA",39.7684,-86.15807,39.95258,-75.16522,937.282171409411
"274",2013,"4",118.22,30325,33316,"Denver, CO","Omaha, NE",19977,"UA",16700,0.25,142.26,75,0.06,175,0.15,0.09,"Denver, CO
(39.738453, -104.984853)","Omaha, NE
(46.07035, -93.666319)","20134303253331619977UA",39.73924,-104.99025,41.25654,-95.9345,783.157974982915
"275",2012,"3",267.53,31295,30529,"Detroit, MI","Hartford, CT",20355,"US",4450,0.19,198.09,150,0.24,250,0.14,0.01,"Detroit, MI
(42.332916, -83.047853)","Hartford, CT
(41.765775, -72.673356)","20123312953052920355US",42.33143,-83.04575,41.7658,-72.67337,857.647439195629
"276",2013,"3",342.87,33105,31703,"Cincinnati, OH","New York City, NY (Metropolitan Area)",19977,"UA",7140,0.1,378.46,125,0.05,625,0.13,0.43,"Cincinnati, OH
(39.104427, -84.513808)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20133331053170319977UA",39.10312,-84.51202,40.71278,-74.00597,912.600854313309
"277",2012,"2",266.75,31066,34100,"Columbus, OH","Philadelphia, PA",20355,"US",26460,0.84,282.53,150,0.1,425,0.07,0.04,"Columbus, OH
(39.962649, -82.996216)","Philadelphia, PA
(39.951061, -75.16562)","20122310663410020355US",39.96118,-82.99879,39.95258,-75.16522,667.022902713275
"278",2013,"4",304.84,31986,31703,"Grand Rapids, MI","New York City, NY (Metropolitan Area)",19790,"DL",13510,0.53,277.3,150,0.1,275,0.05,0.17,"Grand Rapids, MI
(47.925705, -97.036068)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20134319863170319790DL",42.96336,-85.66809,40.71278,-74.00597,996.423521025771
"279",2015,"2",260.15,31057,34027,"Charlotte, NC","West Palm Beach/Palm Beach, FL",20355,"US",6300,0.36,285.42,175,0.15,475,0.05,0.03,"Charlotte, NC
(35.222936, -80.840161)","West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)","20152310573402720355US",35.22709,-80.84313,26.71534,-80.05337,948.802635021867
"280",2012,"1",287.57,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",19977,"UA",8630,0.36,363.81,125,0.05,650,0.15,0.36,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20121330443170319977UA",38.25266,-85.75846,40.71278,-74.00597,1043.43815246109
"281",2015,"1",271.48,30397,34576,"Atlanta, GA (Metropolitan Area)","Rochester, NY",19790,"DL",5480,0.34,286.48,175,0.08,350,0.05,0.08,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Rochester, NY
(43.155708, -77.612547)","20151303973457619790DL",33.84982,-84.43827,43.15658,-77.60885,1191.547582744
"282",2012,"3",111.52,30325,33851,"Denver, CO","Oklahoma City, OK",19393,"WN",24390,0.41,112.67,75,0.31,275,0.05,0.06,"Denver, CO
(39.738453, -104.984853)","Oklahoma City, OK
(35.468494, -97.521264)","20123303253385119393WN",39.73924,-104.99025,35.46756,-97.51643,810.823493414449
"283",2012,"2",294.13,30977,34524,"Chicago, IL","Richmond, VA",19805,"AA",10570,0.3,269.84,150,0.07,500,0.13,0.2,"Chicago, IL
(41.775002, -87.696388)","Richmond, VA
(37.540759, -77.433932)","20122309773452419805AA",41.87811,-87.6298,37.54072,-77.43605,994.839788887037
"284",2014,"3",313.96,33105,34100,"Cincinnati, OH","Philadelphia, PA",19790,"DL",3470,0.15,289.48,175,0.1,400,0.12,0.01,"Cincinnati, OH
(39.104427, -84.513808)","Philadelphia, PA
(39.951061, -75.16562)","20143331053410019790DL",39.10312,-84.51202,39.95258,-75.16522,806.262528481617
"285",2013,"2",264.99,31057,30647,"Charlotte, NC","Cleveland, OH (Metropolitan Area)",20355,"US",20580,0.69,262.61,75,0.05,525,0.06,0.51,"Charlotte, NC
(35.222936, -80.840161)","Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","20132310573064720355US",35.22709,-80.84313,41.49932,-81.69436,700.893871479168
"286",2012,"4",282.61,30977,33244,"Chicago, IL","Memphis, TN",19790,"DL",9070,0.37,288.52,100,0.05,575,0.07,0.32,"Chicago, IL
(41.775002, -87.696388)","Memphis, TN
(35.143378, -90.052136)","20124309773324419790DL",41.87811,-87.6298,35.14953,-90.04898,776.606589944762
"287",2014,"2",269.6,31295,34492,"Detroit, MI","Raleigh/Durham, NC",19790,"DL",14200,0.53,318.27,200,0.06,625,0.05,0.09,"Detroit, MI
(42.332916, -83.047853)","Raleigh/Durham, NC
(42.673348, -72.179683)","20142312953449219790DL",42.33143,-83.04575,35.99403,-78.89862,789.411468429166
"288",2015,"3",287.25,31295,34492,"Detroit, MI","Raleigh/Durham, NC",19805,"AA",3090,0.11,250.83,175,0.1,325,0.11,0.02,"Detroit, MI
(42.332916, -83.047853)","Raleigh/Durham, NC
(42.673348, -72.179683)","20153312953449219805AA",42.33143,-83.04575,35.99403,-78.89862,789.411468429166
"289",2015,"2",260.88,31057,32467,"Charlotte, NC","Miami, FL (Metropolitan Area)",20355,"US",21350,0.31,278.31,175,0.12,475,0.06,0.03,"Charlotte, NC
(35.222936, -80.840161)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)","20152310573246720355US",35.22709,-80.84313,26.30139,-80.63269,992.026450851563
"290",2012,"2",299.65,30977,32070,"Chicago, IL","Harrisburg, PA",19977,"UA",8260,0.52,311.34,225,0.19,425,0.07,0.01,"Chicago, IL
(41.775002, -87.696388)","Harrisburg, PA
(40.259572, -76.881821)","20122309773207019977UA",41.87811,-87.6298,40.27319,-76.8867,916.76402529532
"291",2014,"3",286.86,31650,30198,"Minneapolis/St. Paul, MN","Pittsburgh, PA",19790,"DL",8370,0.29,329.43,125,0.07,625,0.06,0.31,"Minneapolis/St. Paul, MN
(44.977479, -93.264346)","Pittsburgh, PA
(40.442169, -79.994945)","20143316503019819790DL",44.93748,-93.201,40.44062,-79.99589,1186.80540693437
"292",2014,"2",315.56,30647,31650,"Cleveland, OH (Metropolitan Area)","Minneapolis/St. Paul, MN",19977,"UA",4510,0.15,308.03,200,0.07,500,0.05,0.02,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)","20142306473165019977UA",41.49932,-81.69436,44.93748,-93.201,1005.91973726896
"293",2013,"1",312.52,31703,34524,"New York City, NY (Metropolitan Area)","Richmond, VA",20355,"US",4770,0.14,206.38,125,0.09,275,0.07,0.05,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Richmond, VA
(37.540759, -77.433932)","20131317033452420355US",40.71278,-74.00597,37.54072,-77.43605,459.989339956391
"294",2015,"3",292.94,31066,31703,"Columbus, OH","New York City, NY (Metropolitan Area)",19805,"AA",12210,0.13,295.96,175,0.1,375,0.08,0.06,"Columbus, OH
(39.962649, -82.996216)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20153310663170319805AA",39.96118,-82.99879,40.71278,-74.00597,765.925335364936
"295",2018,"4",269.77,30599,32467,"Birmingham, AL","Miami, FL (Metropolitan Area)",19805,"AA",3710,0.1954,298.53,150,0.0566,350,0.0539,0.1402,"","","20184305993246719805AA",33.51859,-86.81036,26.30139,-80.63269,998.10265981244
"296",2015,"2",311.19,30977,33105,"Chicago, IL","Cincinnati, OH",19790,"DL",6060,0.16,312.45,200,0.11,375,0.25,0.01,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)","20152309773310519790DL",41.87811,-87.6298,39.10312,-84.51202,405.529313491306
"297",2014,"4",275.31,31650,30198,"Minneapolis/St. Paul, MN","Pittsburgh, PA",19790,"DL",15980,0.62,304.1,125,0.13,525,0.05,0.31,"Minneapolis/St. Paul, MN
(44.977479, -93.264346)","Pittsburgh, PA
(40.442169, -79.994945)","20144316503019819790DL",44.93748,-93.201,40.44062,-79.99589,1186.80540693437
"298",2015,"1",301.11,31066,34100,"Columbus, OH","Philadelphia, PA",20355,"US",11340,0.43,305.57,125,0.07,450,0.05,0.16,"Columbus, OH
(39.962649, -82.996216)","Philadelphia, PA
(39.951061, -75.16562)","20151310663410020355US",39.96118,-82.99879,39.95258,-75.16522,667.022902713275
"299",2013,"2",330.67,30255,30852,"Huntsville, AL","Washington, DC (Metropolitan Area)",19790,"DL",6380,0.22,316.83,200,0.17,350,0.06,0.07,"Huntsville, AL
(34.729538, -86.585283)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","20132302553085219790DL",34.73037,-86.5861,39.12897,-77.37838,952.06826653703
"300",2012,"4",268.99,31295,33198,"Detroit, MI","Kansas City, MO",19393,"WN",9140,0.32,218.23,150,0.09,350,0.05,0,"Detroit, MI
(42.332916, -83.047853)","Kansas City, MO
(39.099792, -94.578559)","20124312953319819393WN",42.33143,-83.04575,39.09973,-94.57857,1034.55276208901
"301",2015,"3",293.86,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",19977,"UA",13330,0.13,309.17,100,0.05,550,0.06,0.47,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Pittsburgh, PA
(40.442169, -79.994945)","20153317033019819977UA",40.71278,-74.00597,40.44062,-79.99589,506.351972108253
"302",2014,"1",325.8,31057,31295,"Charlotte, NC","Detroit, MI",19790,"DL",12410,0.4,338.51,175,0.08,625,0.07,0.19,"Charlotte, NC
(35.222936, -80.840161)","Detroit, MI
(42.332916, -83.047853)","20141310573129519790DL",35.22709,-80.84313,42.33143,-83.04575,812.079540863763
"303",2013,"2",111.91,30140,30325,"Albuquerque, NM","Denver, CO",19977,"UA",11600,0.22,144.97,100,0.2,225,0.06,0.02,"Albuquerque, NM
(35.084248, -106.649241)","Denver, CO
(39.738453, -104.984853)","20132301403032519977UA",35.08439,-106.65042,39.73924,-104.99025,537.57048600466
"304",2013,"2",346.83,33105,31650,"Cincinnati, OH","Minneapolis/St. Paul, MN",19790,"DL",17500,0.85,361.89,150,0.07,625,0.06,0.32,"Cincinnati, OH
(39.104427, -84.513808)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)","20132331053165019790DL",39.10312,-84.51202,44.93748,-93.201,965.840631274325
"305",2013,"1",266.03,30599,32467,"Birmingham, AL","Miami, FL (Metropolitan Area)",19393,"WN",5590,0.27,252.9,150,0.06,400,0.16,0.01,"Birmingham, AL
(33.522859, -86.807705)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)","20131305993246719393WN",33.51859,-86.81036,26.30139,-80.63269,998.10265981244
"306",2012,"4",117.12,30194,34653,"Dallas/Fort Worth, TX","Tulsa, OK",19393,"WN",30820,0.57,116.93,75,0.29,200,0.15,0.0016,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Tulsa, OK
(61.096484, -160.967455)","20124301943465319393WN",32.70788,-96.92091,36.15398,-95.99278,392.25848837931
"307",2013,"1",332.72,31986,31703,"Grand Rapids, MI","New York City, NY (Metropolitan Area)",19790,"DL",9660,0.56,288.92,150,0.12,250,0.05,0.18,"Grand Rapids, MI
(47.925705, -97.036068)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20131319863170319790DL",42.96336,-85.66809,40.71278,-74.00597,996.423521025771
"308",2013,"2",271,30977,33244,"Chicago, IL","Memphis, TN",19977,"UA",4780,0.17,327.57,125,0.05,575,0.15,0.34,"Chicago, IL
(41.775002, -87.696388)","Memphis, TN
(35.143378, -90.052136)","20132309773324419977UA",41.87811,-87.6298,35.14953,-90.04898,776.606589944762
"309",2015,"1",285.46,30194,31423,"Dallas/Fort Worth, TX","Des Moines, IA",19805,"AA",6250,0.39,308,175,0.09,350,0.05,0.11,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Des Moines, IA
(41.588822, -93.620309)","20151301943142319805AA",32.70788,-96.92091,41.58684,-93.62496,1028.68266392485
"310",2015,"1",309.98,30397,31986,"Atlanta, GA (Metropolitan Area)","Grand Rapids, MI",19790,"DL",6440,0.4,321.4,175,0.11,450,0.1,0.11,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Grand Rapids, MI
(47.925705, -97.036068)","20151303973198619790DL",33.84982,-84.43827,42.96336,-85.66809,1018.30845415471
"311",2015,"2",279.77,31295,31650,"Detroit, MI","Minneapolis/St. Paul, MN",19790,"DL",18320,0.31,356.47,175,0.08,600,0.07,0.21,"Detroit, MI
(42.332916, -83.047853)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)","20152312953165019790DL",42.33143,-83.04575,44.93748,-93.201,865.815845904236
"312",2015,"1",260.57,30397,32070,"Atlanta, GA (Metropolitan Area)","Harrisburg, PA",19790,"DL",5100,0.35,279.79,125,0.06,275,0.08,0.22,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Harrisburg, PA
(40.259572, -76.881821)","20151303973207019790DL",33.84982,-84.43827,40.27319,-76.8867,977.924735276571
"313",2012,"2",290.29,30647,31650,"Cleveland, OH (Metropolitan Area)","Minneapolis/St. Paul, MN",19977,"UA",10210,0.34,306.63,150,0.06,400,0.06,0.13,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)","20122306473165019977UA",41.49932,-81.69436,44.93748,-93.201,1005.91973726896
"314",2013,"2",326.44,31703,34524,"New York City, NY (Metropolitan Area)","Richmond, VA",19977,"UA",10620,0.26,357.76,175,0.05,500,0.23,0.02,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Richmond, VA
(37.540759, -77.433932)","20132317033452419977UA",40.71278,-74.00597,37.54072,-77.43605,459.989339956391
"315",2015,"1",276.89,31057,31136,"Charlotte, NC","Jacksonville, FL",19790,"DL",1770,0.12,199.57,100,0.07,275,0.06,0.06,"Charlotte, NC
(35.222936, -80.840161)","Jacksonville, FL
(30.325968, -81.65676)","20151310573113619790DL",35.22709,-80.84313,30.33218,-81.65565,549.186651678539
"316",2013,"1",263.87,30977,34653,"Chicago, IL","Tulsa, OK",19977,"UA",5360,0.31,282.02,150,0.07,350,0.27,0.05,"Chicago, IL
(41.775002, -87.696388)","Tulsa, OK
(61.096484, -160.967455)","20131309773465319977UA",41.87811,-87.6298,36.15398,-95.99278,961.382249058164
"317",2014,"4",275.02,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",20355,"US",7630,0.16,245.01,150,0.11,325,0.08,0.06,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20144330443170320355US",38.25266,-85.75846,40.71278,-74.00597,1043.43815246109
"318",2013,"4",264.09,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",19977,"UA",26900,0.23,293.2,125,0.08,600,0.05,0.3,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Pittsburgh, PA
(40.442169, -79.994945)","20134317033019819977UA",40.71278,-74.00597,40.44062,-79.99589,506.351972108253
"319",2014,"3",318.16,30255,30852,"Huntsville, AL","Washington, DC (Metropolitan Area)",20355,"US",8380,0.27,316.31,125,0.17,400,0.29,0.43,"Huntsville, AL
(34.729538, -86.585283)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","20143302553085220355US",34.73037,-86.5861,39.12897,-77.37838,952.06826653703
"320",2014,"2",329.25,30977,33105,"Chicago, IL","Cincinnati, OH",19805,"AA",9990,0.32,319.83,200,0.08,500,0.08,0.01,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)","20142309773310519805AA",41.87811,-87.6298,39.10312,-84.51202,405.529313491306
"321",2013,"1",261.66,31057,34100,"Charlotte, NC","Philadelphia, PA",20355,"US",38310,0.77,284.71,175,0.08,425,0.05,0.03,"Charlotte, NC
(35.222936, -80.840161)","Philadelphia, PA
(39.951061, -75.16562)","20131310573410020355US",35.22709,-80.84313,39.95258,-75.16522,724.709223883502
"322",2012,"1",262.47,31057,30647,"Charlotte, NC","Cleveland, OH (Metropolitan Area)",19977,"UA",2820,0.12,299.12,100,0.07,500,0.13,0.35,"Charlotte, NC
(35.222936, -80.840161)","Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","20121310573064719977UA",35.22709,-80.84313,41.49932,-81.69436,700.893871479168
"323",2014,"1",340.78,31295,31650,"Detroit, MI","Minneapolis/St. Paul, MN",19790,"DL",27180,0.77,370.49,175,0.06,650,0.06,0.22,"Detroit, MI
(42.332916, -83.047853)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)","20141312953165019790DL",42.33143,-83.04575,44.93748,-93.201,865.815845904236
"324",2015,"3",272.66,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",19790,"DL",6860,0.16,300.64,175,0.09,375,0.06,0.1,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20153330443170319790DL",38.25266,-85.75846,40.71278,-74.00597,1043.43815246109
"325",2014,"3",359.04,31295,34100,"Detroit, MI","Philadelphia, PA",19790,"DL",9360,0.23,361.64,100,0.05,500,0.33,0.53,"Detroit, MI
(42.332916, -83.047853)","Philadelphia, PA
(39.951061, -75.16562)","20143312953410019790DL",42.33143,-83.04575,39.95258,-75.16522,710.113722507413
"326",2013,"1",289.51,31066,31703,"Columbus, OH","New York City, NY (Metropolitan Area)",20355,"US",15360,0.2,206.8,100,0.05,300,0.08,0.08,"Columbus, OH
(39.962649, -82.996216)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20131310663170320355US",39.96118,-82.99879,40.71278,-74.00597,765.925335364936
"327",2012,"2",368.82,33105,31650,"Cincinnati, OH","Minneapolis/St. Paul, MN",19790,"DL",16880,0.87,378.81,225,0.1,525,0.06,0.02,"Cincinnati, OH
(39.104427, -84.513808)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)","20122331053165019790DL",39.10312,-84.51202,44.93748,-93.201,965.840631274325
"328",2013,"2",354.24,35412,30852,"Knoxville, TN","Washington, DC (Metropolitan Area)",19977,"UA",3770,0.2,351.74,100,0.14,825,0.06,0.38,"Knoxville, TN
(35.962631, -83.916677)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","20132354123085219977UA",35.96064,-83.92074,39.12897,-77.37838,675.152409324652
"329",2012,"2",299.65,30977,32070,"Chicago, IL","Harrisburg, PA",20355,"US",2600,0.16,286.88,225,0.22,425,0.05,0.0077,"Chicago, IL
(41.775002, -87.696388)","Harrisburg, PA
(40.259572, -76.881821)","20122309773207020355US",41.87811,-87.6298,40.27319,-76.8867,916.76402529532
"330",2014,"2",341.49,35412,30852,"Knoxville, TN","Washington, DC (Metropolitan Area)",19790,"DL",4520,0.21,324.49,200,0.12,425,0.05,0.04,"Knoxville, TN
(35.962631, -83.916677)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","20142354123085219790DL",35.96064,-83.92074,39.12897,-77.37838,675.152409324652
"331",2015,"1",347.47,31066,31703,"Columbus, OH","New York City, NY (Metropolitan Area)",19790,"DL",10430,0.14,369.79,175,0.12,475,0.06,0.23,"Columbus, OH
(39.962649, -82.996216)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20151310663170319790DL",39.96118,-82.99879,40.71278,-74.00597,765.925335364936
"332",2013,"4",356.69,33105,31650,"Cincinnati, OH","Minneapolis/St. Paul, MN",19790,"DL",15630,0.84,378.23,200,0.05,600,0.15,0.05,"Cincinnati, OH
(39.104427, -84.513808)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)","20134331053165019790DL",39.10312,-84.51202,44.93748,-93.201,965.840631274325
"333",2013,"2",264.99,31057,30647,"Charlotte, NC","Cleveland, OH (Metropolitan Area)",19977,"UA",5040,0.16,330.71,175,0.06,525,0.16,0.07,"Charlotte, NC
(35.222936, -80.840161)","Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","20132310573064719977UA",35.22709,-80.84313,41.49932,-81.69436,700.893871479168
"334",2013,"2",272.16,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",20355,"US",37050,0.34,274.11,125,0.15,475,0.07,0.26,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Pittsburgh, PA
(40.442169, -79.994945)","20132317033019820355US",40.71278,-74.00597,40.44062,-79.99589,506.351972108253
"335",2013,"3",357.43,30194,33244,"Dallas/Fort Worth, TX","Memphis, TN",19790,"DL",2330,0.13,367.09,125,0.05,500,0.09,0.51,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Memphis, TN
(35.143378, -90.052136)","20133301943324419790DL",32.70788,-96.92091,35.14953,-90.04898,689.026161153083
"336",2012,"4",287.97,33198,31650,"Kansas City, MO","Minneapolis/St. Paul, MN",19790,"DL",22570,0.79,307.02,200,0.09,475,0.06,0.0066,"Kansas City, MO
(39.099792, -94.578559)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)","20124331983165019790DL",39.09973,-94.57857,44.93748,-93.201,658.554590337954
"337",2015,"4",289.43,30647,31650,"Cleveland, OH (Metropolitan Area)","Minneapolis/St. Paul, MN",19790,"DL",8980,0.31,310.85,225,0.08,575,0.05,0.01,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)","20154306473165019790DL",41.49932,-81.69436,44.93748,-93.201,1005.91973726896
"338",2013,"4",267.66,30977,35096,"Chicago, IL","Syracuse, NY",20355,"US",2480,0.14,254.5,175,0.08,325,0.11,0.03,"Chicago, IL
(41.775002, -87.696388)","Syracuse, NY
(43.047945, -76.147448)","20134309773509620355US",41.87811,-87.6298,43.04812,-76.14742,949.430122351463
"339",2015,"2",291.57,31650,30693,"Minneapolis/St. Paul, MN","Nashville, TN",19790,"DL",9710,0.28,335.78,200,0.1,475,0.05,0.04,"Minneapolis/St. Paul, MN
(44.977479, -93.264346)","Nashville, TN
(36.166687, -86.779932)","20152316503069319790DL",44.93748,-93.201,36.16266,-86.7816,1114.69532630839
"340",2012,"1",265.87,31066,34100,"Columbus, OH","Philadelphia, PA",20355,"US",22730,0.85,279.55,150,0.09,400,0.06,0.03,"Columbus, OH
(39.962649, -82.996216)","Philadelphia, PA
(39.951061, -75.16562)","20121310663410020355US",39.96118,-82.99879,39.95258,-75.16522,667.022902713275
"341",2012,"2",296.63,31986,31703,"Grand Rapids, MI","New York City, NY (Metropolitan Area)",19977,"UA",10970,0.5,332.5,150,0.09,675,0.08,0.24,"Grand Rapids, MI
(47.925705, -97.036068)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20122319863170319977UA",42.96336,-85.66809,40.71278,-74.00597,996.423521025771
"342",2015,"2",327.53,32337,31703,"Indianapolis, IN","New York City, NY (Metropolitan Area)",19977,"UA",16010,0.17,352.12,200,0.13,325,0.05,0.12,"Indianapolis, IN
(39.76845, -86.156212)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20152323373170319977UA",39.7684,-86.15807,40.71278,-74.00597,1035.25507065128
"343",2012,"3",321.51,30868,30852,"Columbia, SC","Washington, DC (Metropolitan Area)",19977,"UA",3210,0.2,312.75,100,0.15,650,0.05,0.41,"Columbia, SC
(39.962649, -82.996216)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","20123308683085219977UA",34.00071,-81.03481,39.12897,-77.37838,656.52493395273
"344",2014,"1",305.79,30647,31650,"Cleveland, OH (Metropolitan Area)","Minneapolis/St. Paul, MN",19790,"DL",11830,0.54,313.32,200,0.08,475,0.16,0.03,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)","20141306473165019790DL",41.49932,-81.69436,44.93748,-93.201,1005.91973726896
