tbl,Year,quarter,mkt_fare,citymarketid_1,citymarketid_2,city1,city2,carairlineid,car,carpax,carpaxshare,caravgfare,fareinc_min,fareinc_minpaxsh,fareinc_max,fare_inc_maxpaxsh,fare_inc_x3paxsh,Geocoded_City1,Geocoded_City2,tbl5pk
Table 5,2012,4,332.41,30647,34100,"Cleveland, OH (Metropolitan Area)","Philadelphia, PA",19977,UA,7550,0.3,332.94,175,0.06,625,0.05,0.16,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Philadelphia, PA
(39.951061, -75.16562)",20124306473410019977UA
Table 5,1996,3,84.24,30615,32211,"El Paso, TX","Las Vegas, NV",19393,WN,34680,0.83,80.4,75,0.77,125,0.22,0,"El Paso, TX
(31.76006, -106.492257)","Las Vegas, NV
(36.169202, -115.140597)",19963306153221119393WN
Table 5,2006,4,94.95,30977,33316,"Chicago, IL","Omaha, NE",19805,AA,12360,0.13,104.32,75,0.37,150,0.06,0.05,"Chicago, IL
(41.775002, -87.696388)","Omaha, NE
(46.07035, -93.666319)",20064309773331619805AA
Table 5,2009,3,240.97,33198,31650,"Kansas City, MO","Minneapolis/St. Paul, MN",19386,NW,27110,0.78,248.63,150,0.24,375,0.05,0.1,"Kansas City, MO
(39.099792, -94.578559)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)",20093331983165019386NW
Table 5,2005,4,262.65,33105,31703,"Cincinnati, OH","New York City, NY (Metropolitan Area)",19790,DL,64350,0.73,264.87,125,0.09,325,0.11,0.21,"Cincinnati, OH
(39.104427, -84.513808)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20054331053170319790DL
Table 5,2000,1,273.3,31057,31123,"Charlotte, NC","St. Louis, MO",20355,US,7610,0.5,275.97,75,0.1,525,0.07,0.49,"Charlotte, NC
(35.222936, -80.840161)","St. Louis, MO
(38.630276, -90.200309)",20001310573112320355US
Table 5,1996,3,71.25,30466,33570,"Phoenix, AZ","San Diego, CA",19393,WN,71340,0.73,65.99,75,1,75,1,0,"Phoenix, AZ
(30.406931, -87.217578)","San Diego, CA
(32.71576, -117.163817)",19963304663357019393WN
Table 5,2001,1,256.51,30194,33044,"Dallas/Fort Worth, TX","Louisville, KY",19790,DL,4580,0.24,295.33,125,0.15,550,0.07,0.36,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Louisville, KY
(38.256078, -85.751569)",20011301943304419790DL
Table 5,2018,3,315.22,31453,33158,"Houston, TX","Midland/Odessa, TX",19977,UA,15660,0.2252,365.49,275,0.0562,425,0.0556,0.0083,,,20183314533315819977UA
Table 5,2018,3,102.86,31638,32211,"Fresno, CA","Las Vegas, NV",20368,G4,8830,0.4282,87.37,75,0.4439,150,0.0634,0,,,20183316383221120368G4
Table 5,2004,4,90.86,34492,30852,"Raleigh/Durham, NC","Washington, DC (Metropolitan Area)",19977,UA,12500,0.14,91.38,75,0.42,150,0.06,0.02,"Raleigh/Durham, NC
(42.673348, -72.179683)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20044344923085219977UA
Table 5,1996,1,73.67,32575,30466,"Los Angeles, CA (Metropolitan Area)","Phoenix, AZ",19393,WN,140380,0.62,67.09,75,0.99,75,0.99,0.0001,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Phoenix, AZ
(30.406931, -87.217578)",19961325753046619393WN
Table 5,2002,2,243.1,30977,34524,"Chicago, IL","Richmond, VA",19977,UA,15340,0.56,244.52,100,0.11,200,0.1,0.28,"Chicago, IL
(41.775002, -87.696388)","Richmond, VA
(37.540759, -77.433932)",20022309773452419977UA
Table 5,2007,4,286.42,30647,34100,"Cleveland, OH (Metropolitan Area)","Philadelphia, PA",20355,US,14040,0.63,297.39,125,0.07,525,0.09,0.37,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Philadelphia, PA
(39.951061, -75.16562)",20074306473410020355US
Table 5,1997,3,71.89,30194,33158,"Dallas/Fort Worth, TX","Midland/Odessa, TX",19393,WN,45480,0.84,70.07,75,0.64,100,0.35,0,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Midland/Odessa, TX
(31.997433, -102.078043)",19973301943315819393WN
Table 5,2005,4,251.74,31453,33244,"Houston, TX","Memphis, TN",19386,NW,2400,0.14,233.2,75,0.17,500,0.07,0.4,"Houston, TX
(29.760803, -95.369506)","Memphis, TN
(35.143378, -90.052136)",20054314533324419386NW
Table 5,1998,2,252.92,31057,34100,"Charlotte, NC","Philadelphia, PA",20355,US,44700,0.95,253.61,75,0.09,375,0.23,0.6,"Charlotte, NC
(35.222936, -80.840161)","Philadelphia, PA
(39.951061, -75.16562)",19982310573410020355US
Table 5,2004,2,88.82,30466,33570,"Phoenix, AZ","San Diego, CA",19393,WN,92220,0.7,87.12,75,0.29,125,0.21,0,"Phoenix, AZ
(30.406931, -87.217578)","San Diego, CA
(32.71576, -117.163817)",20042304663357019393WN
Table 5,2011,1,313.07,30372,32575,"Aspen, CO","Los Angeles, CA (Metropolitan Area)",19977,UA,11880,0.8,339.94,75,0.07,325,0.06,0.73,"Aspen, CO
(39.190665, -106.819201)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",20111303723257519977UA
Table 5,1999,2,79.59,34570,30559,"Reno, NV","Seattle, WA",19930,AS,36050,0.48,75.18,75,0.69,125,0.09,0.0011,"Reno, NV
(30.177159, -95.162771)","Seattle, WA
(47.603229, -122.33028)",19992345703055919930AS
Table 5,1997,1,256.09,31295,34100,"Detroit, MI","Philadelphia, PA",20355,US,17940,0.31,266.98,100,0.06,400,0.24,0.43,"Detroit, MI
(42.332916, -83.047853)","Philadelphia, PA
(39.951061, -75.16562)",19971312953410020355US
Table 5,2013,2,326.99,30647,34100,"Cleveland, OH (Metropolitan Area)","Philadelphia, PA",19977,UA,8940,0.31,326.97,75,0.05,650,0.05,0.54,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Philadelphia, PA
(39.951061, -75.16562)",20132306473410019977UA
Table 5,2005,1,83.04,30559,31884,"Seattle, WA","Spokane, WA",19393,WN,17650,0.19,76.7,75,0.44,100,0.55,0,"Seattle, WA
(47.603229, -122.33028)","Spokane, WA
(47.658999, -117.425022)",20051305593188419393WN
Table 5,2000,2,239.66,30194,31123,"Dallas/Fort Worth, TX","St. Louis, MO",19393,WN,11260,0.13,157.35,125,0.41,275,0.06,0.0018,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","St. Louis, MO
(38.630276, -90.200309)",20002301943112319393WN
Table 5,2012,1,261.92,31650,30693,"Minneapolis/St. Paul, MN","Nashville, TN",19393,WN,4680,0.2,214.15,125,0.06,400,0.06,0.07,"Minneapolis/St. Paul, MN
(44.977479, -93.264346)","Nashville, TN
(36.166687, -86.779932)",20121316503069319393WN
Table 5,2001,1,251.82,33342,34100,"Milwaukee, WI","Philadelphia, PA",20314,YX,10440,0.52,259.18,125,0.25,375,0.41,0.06,"Milwaukee, WI
(43.041072, -87.909421)","Philadelphia, PA
(39.951061, -75.16562)",20011333423410020314YX
Table 5,2018,3,266.71,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",19790,DL,21300,0.1877,260.24,100,0.1315,525,0.0592,0.3315,,,20183317033019819790DL
Table 5,2018,3,266.71,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",19805,AA,13510,0.119,283.74,125,0.1362,525,0.0659,0.2517,,,20183317033019819805AA
Table 5,2018,3,266.71,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",19977,UA,19100,0.1683,279.95,100,0.0592,525,0.0738,0.3398,,,20183317033019819977UA
Table 5,2018,3,133.9,32211,32457,"Las Vegas, NV","San Francisco, CA (Metropolitan Area)",19393,WN,158730,0.2527,140.78,75,0.1583,325,0.0925,0.1485,,,20183322113245719393WN
Table 5,1998,1,272.63,30194,33316,"Dallas/Fort Worth, TX","Omaha, NE",19805,AA,13630,0.75,287.27,75,0.05,500,0.16,0.54,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Omaha, NE
(46.07035, -93.666319)",19981301943331619805AA
Table 5,2003,3,300.94,31057,31703,"Charlotte, NC","New York City, NY (Metropolitan Area)",20355,US,63990,0.71,307.55,125,0.08,500,0.1,0.42,"Charlotte, NC
(35.222936, -80.840161)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20033310573170320355US
Table 5,1996,2,84.86,31453,33495,"Houston, TX","New Orleans, LA",19393,WN,101120,0.61,79,75,0.21,100,0.78,0,"Houston, TX
(29.760803, -95.369506)","New Orleans, LA
(29.950621, -90.074948)",19962314533349519393WN
Table 5,2001,1,207.29,31703,33667,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",19704,CO,12260,0.36,237.76,75,0.05,450,0.06,0.54,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)",20011317033366719704CO
Table 5,1998,2,74.65,30466,33570,"Phoenix, AZ","San Diego, CA",19991,HP,19470,0.22,80.94,75,0.77,100,0.08,0.02,"Phoenix, AZ
(30.406931, -87.217578)","San Diego, CA
(32.71576, -117.163817)",19982304663357019991HP
Table 5,2015,2,267.96,30397,33105,"Atlanta, GA (Metropolitan Area)","Cincinnati, OH",19790,DL,13850,0.38,321.09,175,0.07,525,0.05,0.07,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Cincinnati, OH
(39.104427, -84.513808)",20152303973310519790DL
Table 5,2000,3,242.13,30325,30436,"Denver, CO","Tucson, AZ",19991,HP,4250,0.27,193.16,75,0.05,375,0.15,0.32,"Denver, CO
(39.738453, -104.984853)","Tucson, AZ
(35.167852, -103.726151)",20003303253043619991HP
Table 5,1999,3,232.72,31453,33244,"Houston, TX","Memphis, TN",19386,NW,5830,0.37,243.47,100,0.1,400,0.29,0.49,"Houston, TX
(29.760803, -95.369506)","Memphis, TN
(35.143378, -90.052136)",19993314533324419386NW
Table 5,1996,2,69.04,34057,33192,"Portland, OR","Sacramento, CA",19930,AS,7600,0.1,87.26,75,0.47,150,0.05,0.01,"Portland, OR
(45.516018, -122.681425)","Sacramento, CA
(38.582087, -121.50012)",19962340573319219930AS
Table 5,2015,1,90.55,32211,34716,"Las Vegas, NV","Stockton, CA",20368,G4,7640,0.54,97.07,75,0.29,200,0.05,0,"Las Vegas, NV
(36.169202, -115.140597)","Stockton, CA
(37.957541, -121.292451)",20151322113471620368G4
Table 5,1998,4,240.85,34492,31123,"Raleigh/Durham, NC","St. Louis, MO",20211,TW,13130,0.8,245.87,125,0.23,500,0.05,0.29,"Raleigh/Durham, NC
(42.673348, -72.179683)","St. Louis, MO
(38.630276, -90.200309)",19984344923112320211TW
Table 5,2000,4,77.13,33198,31123,"Kansas City, MO","St. Louis, MO",20211,TW,35220,0.53,80.91,75,0.44,100,0.45,0.02,"Kansas City, MO
(39.099792, -94.578559)","St. Louis, MO
(38.630276, -90.200309)",20004331983112320211TW
Table 5,2008,2,90.71,30713,30559,"Boise, ID","Seattle, WA",19930,AS,45450,0.58,94.99,75,0.3,150,0.14,0.0031,"Boise, ID
(43.597772, -83.884521)","Seattle, WA
(47.603229, -122.33028)",20082307133055919930AS
Table 5,1996,2,225.67,30198,31123,"Pittsburgh, PA","St. Louis, MO",20355,US,5650,0.34,212.05,125,0.22,350,0.2,0.02,"Pittsburgh, PA
(40.442169, -79.994945)","St. Louis, MO
(38.630276, -90.200309)",19962301983112320355US
Table 5,2001,2,231.62,30647,33342,"Cleveland, OH (Metropolitan Area)","Milwaukee, WI",19704,CO,9190,0.47,231.23,100,0.13,425,0.05,0.37,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Milwaukee, WI
(43.041072, -87.909421)",20012306473334219704CO
Table 5,2003,2,272.6,30868,30852,"Columbia, SC","Washington, DC (Metropolitan Area)",19790,DL,2630,0.18,234.49,100,0.08,450,0.05,0.35,"Columbia, SC
(39.962649, -82.996216)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20032308683085219790DL
Table 5,2000,4,242.89,30977,33105,"Chicago, IL","Cincinnati, OH",19790,DL,36090,0.58,247.26,100,0.07,225,0.21,0.3,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)",20004309773310519790DL
Table 5,2008,3,220.16,31295,30529,"Detroit, MI","Hartford, CT",19386,NW,20820,0.8,225.39,150,0.29,300,0.11,0.02,"Detroit, MI
(42.332916, -83.047853)","Hartford, CT
(41.765775, -72.673356)",20083312953052919386NW
Table 5,2009,1,247.78,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",19704,CO,8510,0.34,290.69,150,0.05,500,0.21,0.33,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20091330443170319704CO
Table 5,2001,3,227.05,31066,34100,"Columbus, OH","Philadelphia, PA",20355,US,17620,0.72,232.35,75,0.12,500,0.05,0.4,"Columbus, OH
(39.962649, -82.996216)","Philadelphia, PA
(39.951061, -75.16562)",20013310663410020355US
Table 5,2019,4,109.85,30189,30466,"Colorado Springs, CO","Phoenix, AZ",20436,F9,9300,0.4385,89.33,75,0.4183,150,0.0742,0,,,20194301893046620436F9
Table 5,2003,2,235.01,31295,32337,"Detroit, MI","Indianapolis, IN",19386,NW,17880,0.84,253.64,100,0.11,400,0.07,0.38,"Detroit, MI
(42.332916, -83.047853)","Indianapolis, IN
(39.76845, -86.156212)",20032312953233719386NW
Table 5,1999,1,224.89,30194,31123,"Dallas/Fort Worth, TX","St. Louis, MO",19393,WN,11190,0.15,148.02,100,0.32,275,0.05,0.0018,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","St. Louis, MO
(38.630276, -90.200309)",19991301943112319393WN
Table 5,2010,3,291.96,31295,31650,"Detroit, MI","Minneapolis/St. Paul, MN",19790,DL,40540,0.83,305.73,175,0.06,425,0.06,0.08,"Detroit, MI
(42.332916, -83.047853)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)",20103312953165019790DL
Table 5,2007,2,239.99,30977,31423,"Chicago, IL","Des Moines, IA",19805,AA,8210,0.38,241.56,100,0.05,375,0.07,0.22,"Chicago, IL
(41.775002, -87.696388)","Des Moines, IA
(41.588822, -93.620309)",20072309773142319805AA
Table 5,1996,4,85.67,33044,31454,"Louisville, KY","Orlando, FL",19790,DL,21200,0.58,86.57,75,0.59,125,0.08,0.02,"Louisville, KY
(38.256078, -85.751569)","Orlando, FL
(28.538331, -81.378879)",19964330443145419790DL
Table 5,2005,3,86.65,30977,32337,"Chicago, IL","Indianapolis, IN",19977,UA,9800,0.23,96.86,75,0.31,125,0.05,0.04,"Chicago, IL
(41.775002, -87.696388)","Indianapolis, IN
(39.76845, -86.156212)",20053309773233719977UA
Table 5,1996,1,269.38,32337,31650,"Indianapolis, IN","Minneapolis/St. Paul, MN",19386,NW,15460,0.81,276.03,125,0.15,425,0.32,0.42,"Indianapolis, IN
(39.76845, -86.156212)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)",19961323373165019386NW
Table 5,2001,1,204.7,30721,33667,"Boston, MA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",19805,AA,6570,0.3,212.35,100,0.16,475,0.08,0.29,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)",20011307213366719805AA
Table 5,2006,4,88.32,30559,31884,"Seattle, WA","Spokane, WA",19393,WN,39820,0.3,80.76,75,0.4,100,0.59,0,"Seattle, WA
(47.603229, -122.33028)","Spokane, WA
(47.658999, -117.425022)",20064305593188419393WN
Table 5,2005,3,96.28,30194,31453,"Dallas/Fort Worth, TX","Houston, TX",19704,CO,64890,0.19,99.83,75,0.16,150,0.06,0.0088,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Houston, TX
(29.760803, -95.369506)",20053301943145319704CO
Table 5,1997,3,221.82,31986,31703,"Grand Rapids, MI","New York City, NY (Metropolitan Area)",20355,US,3220,0.15,221.63,100,0.08,425,0.12,0.31,"Grand Rapids, MI
(47.925705, -97.036068)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",19973319863170320355US
Table 5,2013,2,266.58,31650,30693,"Minneapolis/St. Paul, MN","Nashville, TN",19790,DL,20410,0.67,280.35,150,0.07,350,0.07,0.12,"Minneapolis/St. Paul, MN
(44.977479, -93.264346)","Nashville, TN
(36.166687, -86.779932)",20132316503069319790DL
Table 5,1996,3,88.53,31295,34100,"Detroit, MI","Philadelphia, PA",19386,NW,65330,0.61,84.6,75,0.76,100,0.09,0.04,"Detroit, MI
(42.332916, -83.047853)","Philadelphia, PA
(39.951061, -75.16562)",19963312953410019386NW
Table 5,2000,1,221.13,31995,34100,"Greensboro/High Point, NC","Philadelphia, PA",20355,US,15690,0.93,222.62,75,0.12,425,0.21,0.44,"Greensboro/High Point, NC
(36.072701, -79.793899)","Philadelphia, PA
(39.951061, -75.16562)",20001319953410020355US
Table 5,2000,4,255.14,31295,33244,"Detroit, MI","Memphis, TN",19386,NW,14180,0.85,269.44,100,0.07,550,0.08,0.36,"Detroit, MI
(42.332916, -83.047853)","Memphis, TN
(35.143378, -90.052136)",20004312953324419386NW
Table 5,2018,3,133.9,32211,32457,"Las Vegas, NV","San Francisco, CA (Metropolitan Area)",19977,UA,65330,0.104,147.26,75,0.1584,200,0.0511,0.1462,,,20183322113245719977UA
Table 5,2010,3,90.65,30559,31884,"Seattle, WA","Spokane, WA",19930,AS,73740,0.82,91.5,75,0.47,150,0.19,0.0026,"Seattle, WA
(47.603229, -122.33028)","Spokane, WA
(47.658999, -117.425022)",20103305593188419930AS
Table 5,2003,2,232.33,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",19704,CO,11070,0.31,273.36,125,0.17,600,0.05,0.28,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20032330443170319704CO
Table 5,2015,2,385.61,31295,34100,"Detroit, MI","Philadelphia, PA",20355,US,6800,0.16,454.44,200,0.06,700,0.09,0.25,"Detroit, MI
(42.332916, -83.047853)","Philadelphia, PA
(39.951061, -75.16562)",20152312953410020355US
Table 5,2011,3,351.07,35412,30852,"Knoxville, TN","Washington, DC (Metropolitan Area)",19977,UA,3520,0.2,356.27,100,0.09,775,0.05,0.43,"Knoxville, TN
(35.962631, -83.916677)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20113354123085219977UA
Table 5,1999,1,74.25,33198,31123,"Kansas City, MO","St. Louis, MO",19393,WN,27040,0.46,69.77,75,0.99,75,0.99,0,"Kansas City, MO
(39.099792, -94.578559)","St. Louis, MO
(38.630276, -90.200309)",19991331983112319393WN
Table 5,1998,1,250.78,30397,33342,"Atlanta, GA (Metropolitan Area)","Milwaukee, WI",19790,DL,8750,0.34,289.89,100,0.07,475,0.22,0.49,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Milwaukee, WI
(43.041072, -87.909421)",19981303973334219790DL
Table 5,2000,2,260.88,31057,30647,"Charlotte, NC","Cleveland, OH (Metropolitan Area)",20355,US,13950,0.68,260.5,75,0.06,425,0.24,0.53,"Charlotte, NC
(35.222936, -80.840161)","Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)",20002310573064720355US
Table 5,1996,1,76.4,30194,33158,"Dallas/Fort Worth, TX","Midland/Odessa, TX",19393,WN,28440,0.8,73.84,75,0.99,75,0.99,0,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Midland/Odessa, TX
(31.997433, -102.078043)",19961301943315819393WN
Table 5,2001,1,302.66,31057,31703,"Charlotte, NC","New York City, NY (Metropolitan Area)",19704,CO,14160,0.15,312.31,125,0.11,550,0.07,0.42,"Charlotte, NC
(35.222936, -80.840161)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20011310573170319704CO
Table 5,2022,2,133.16,30189,30466,"Colorado Springs, CO","Phoenix, AZ",20436,F9,4670,0.1078,80.88,75,0.4946,125,0.1071,0.0021,,,20222301893046620436F9
Table 5,2002,4,258.11,31057,34100,"Charlotte, NC","Philadelphia, PA",20355,US,32730,0.94,261.26,100,0.24,475,0.08,0.45,"Charlotte, NC
(35.222936, -80.840161)","Philadelphia, PA
(39.951061, -75.16562)",20024310573410020355US
Table 5,2005,4,89.58,33198,33851,"Kansas City, MO","Oklahoma City, OK",19393,WN,20590,0.98,87.36,75,0.33,125,0.4,0.0005,"Kansas City, MO
(39.099792, -94.578559)","Oklahoma City, OK
(35.468494, -97.521264)",20054331983385119393WN
Table 5,2010,2,223.42,30994,31703,"Charleston, SC","New York City, NY (Metropolitan Area)",19790,DL,19870,0.38,197.99,125,0.43,225,0.07,0.11,"Charleston, SC
(32.77647, -79.931027)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20102309943170319790DL
Table 5,2002,3,211.15,30194,33044,"Dallas/Fort Worth, TX","Louisville, KY",19790,DL,3050,0.13,241.17,100,0.15,250,0.05,0.27,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Louisville, KY
(38.256078, -85.751569)",20023301943304419790DL
Table 5,2001,2,230.26,30397,30994,"Atlanta, GA (Metropolitan Area)","Charleston, SC",19790,DL,15610,0.95,231.5,75,0.09,450,0.08,0.44,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Charleston, SC
(32.77647, -79.931027)",20012303973099419790DL
Table 5,2001,1,283.32,32337,31650,"Indianapolis, IN","Minneapolis/St. Paul, MN",19386,NW,17200,0.73,324.47,125,0.24,575,0.13,0.45,"Indianapolis, IN
(39.76845, -86.156212)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)",20011323373165019386NW
Table 5,2005,2,98.2,33192,33570,"Sacramento, CA","San Diego, CA",19393,WN,197230,0.96,97.78,75,0.17,125,0.45,0.0006,"Sacramento, CA
(38.582087, -121.50012)","San Diego, CA
(32.71576, -117.163817)",20052331923357019393WN
Table 5,2004,4,222.77,31650,30693,"Minneapolis/St. Paul, MN","Nashville, TN",19805,AA,2140,0.1,150.46,75,0.1,150,0.08,0.17,"Minneapolis/St. Paul, MN
(44.977479, -93.264346)","Nashville, TN
(36.166687, -86.779932)",20044316503069319805AA
Table 5,2011,1,290.78,31986,31703,"Grand Rapids, MI","New York City, NY (Metropolitan Area)",19790,DL,7570,0.5,262.39,125,0.11,300,0.05,0.21,"Grand Rapids, MI
(47.925705, -97.036068)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",20111319863170319790DL
Table 5,1997,1,78,30194,34653,"Dallas/Fort Worth, TX","Tulsa, OK",19805,AA,22540,0.32,78.6,75,0.53,125,0.08,0.0027,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Tulsa, OK
(61.096484, -160.967455)",19971301943465319805AA
Table 5,1997,3,247.19,31057,30198,"Charlotte, NC","Pittsburgh, PA",20355,US,15720,0.94,248.3,75,0.07,400,0.06,0.54,"Charlotte, NC
(35.222936, -80.840161)","Pittsburgh, PA
(40.442169, -79.994945)",19973310573019820355US
Table 5,2004,2,99.97,30257,30852,"Albany, NY","Washington, DC (Metropolitan Area)",19393,WN,54330,0.79,73.61,75,0.47,100,0.52,0,"Albany, NY
(42.651242, -73.755418)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20042302573085219393WN
Table 5,1996,3,82.95,30599,31454,"Birmingham, AL","Orlando, FL",19393,WN,13360,0.56,66.15,75,0.75,100,0.24,0,"Birmingham, AL
(33.522859, -86.807705)","Orlando, FL
(28.538331, -81.378879)",19963305993145419393WN
Table 5,2000,3,263.83,31295,33244,"Detroit, MI","Memphis, TN",19386,NW,13250,0.81,286.7,125,0.11,525,0.11,0.27,"Detroit, MI
(42.332916, -83.047853)","Memphis, TN
(35.143378, -90.052136)",20003312953324419386NW
Table 5,2010,2,251.11,30977,33105,"Chicago, IL","Cincinnati, OH",19977,UA,15130,0.36,248.24,125,0.06,425,0.1,0.19,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)",20102309773310519977UA
Table 5,2000,2,228.39,33667,34100,"Norfolk, VA (Metropolitan Area)","Philadelphia, PA",20355,US,18460,0.96,228.84,125,0.06,325,0.15,0.0043,"Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)","Philadelphia, PA
(39.951061, -75.16562)",20002336673410020355US
Table 5,2001,4,289.15,30977,33105,"Chicago, IL","Cincinnati, OH",19805,AA,5740,0.17,279.11,100,0.12,425,0.06,0.46,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)",20014309773310519805AA
Table 5,1999,1,240.44,30397,33342,"Atlanta, GA (Metropolitan Area)","Milwaukee, WI",20314,YX,9930,0.37,225.84,125,0.5,500,0.22,0.27,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Milwaukee, WI
(43.041072, -87.909421)",19991303973334220314YX
Table 5,1996,4,85.92,30194,33495,"Dallas/Fort Worth, TX","New Orleans, LA",19805,AA,28830,0.21,102.88,75,0.38,175,0.05,0.02,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","New Orleans, LA
(29.950621, -90.074948)",19964301943349519805AA
Table 5,2005,1,88.61,30792,30852,"Buffalo, NY","Washington, DC (Metropolitan Area)",19393,WN,32690,0.66,75.7,75,0.43,100,0.56,0,"Buffalo, NY
(39.945422, -78.64671)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",20051307923085219393WN
Table 5,2008,2,83.4,35412,34761,"Knoxville, TN","Sanford, FL",20368,G4,22870,1,83.4,75,0.38,100,0.47,0,"Knoxville, TN
(35.962631, -83.916677)","Sanford, FL
(37.78008, -122.420168)",20082354123476120368G4
Table 5,1997,4,226.53,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",19790,DL,5570,0.16,239.04,125,0.09,450,0.15,0.27,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",19974330443170319790DL
Table 5,2013,1,117.72,30194,34653,"Dallas/Fort Worth, TX","Tulsa, OK",19805,AA,18910,0.39,114.35,75,0.3,150,0.23,0.04,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Tulsa, OK
(61.096484, -160.967455)",20131301943465319805AA
Table 5,2005,1,91.32,30194,33158,"Dallas/Fort Worth, TX","Midland/Odessa, TX",19805,AA,4910,0.15,93.25,75,0.26,125,0.38,0.0061,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Midland/Odessa, TX
(31.997433, -102.078043)",20051301943315819805AA
Table 5,2005,4,97.05,30194,33214,"Dallas/Fort Worth, TX","San Antonio, TX",19393,WN,122710,0.77,94.35,75,0.26,125,0.55,0.0007,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","San Antonio, TX
(29.425173, -98.494599)",20054301943321419393WN
Table 5,1999,1,265.24,34100,34524,"Philadelphia, PA","Richmond, VA",20355,US,14500,0.98,266.13,125,0.06,325,0.46,0.009,"Philadelphia, PA
(39.951061, -75.16562)","Richmond, VA
(37.540759, -77.433932)",19991341003452420355US
Table 5,2018,3,121.04,32211,32575,"Las Vegas, NV","Los Angeles, CA (Metropolitan Area)",19393,WN,143650,0.2226,141.16,75,0.1854,275,0.0712,0.1809,,,20183322113257519393WN
Table 5,2010,1,240.48,31650,30693,"Minneapolis/St. Paul, MN","Nashville, TN",19393,WN,3020,0.16,229.31,150,0.05,350,0.09,0,"Minneapolis/St. Paul, MN
(44.977479, -93.264346)","Nashville, TN
(36.166687, -86.779932)",20101316503069319393WN
